candidate_id,gender,age_group,region,college_tier,years_experience,assessment_score,interview_score,hired
211,Male,26-30,Urban,Tier2,5,89,50,1
212,Male,26-30,Urban,Tier2,5,62,86,1
213,Male,20-25,Urban,Tier1,9,49,88,1
214,Male,20-25,Rural,Tier2,9,88,77,1
215,Female,26-30,Rural,Tier2,9,60,95,1
216,Female,20-25,Urban,Tier2,4,90,57,0
217,Male,26-30,Urban,Tier2,0,43,63,0
218,Female,20-25,Rural,Tier3,9,78,72,1
219,Female,26-30,Urban,Tier3,0,68,98,0
220,Male,26-30,Urban,Tier1,0,68,46,0
221,Female,31-35,Urban,Tier2,0,55,85,0
222,Female,31-35,Urban,Tier2,5,63,98,1
223,Female,26-30,Rural,Tier2,0,90,80,1
224,Female,20-25,Urban,Tier2,4,56,86,0
225,Male,26-30,Urban,Tier1,5,59,81,1
226,Female,20-25,Rural,Tier1,8,64,81,1
227,Female,31-35,Rural,Tier3,10,98,73,1
228,Male,26-30,Urban,Tier2,5,59,51,0
229,Male,26-30,Rural,Tier1,2,49,44,0
230,Female,31-35,Urban,Tier3,8,42,82,0
231,Female,31-35,Rural,Tier2,2,50,51,0
232,Male,31-35,Urban,Tier2,3,68,79,1
233,Female,31-35,Rural,Tier2,3,59,91,0
234,Female,31-35,Urban,Tier2,9,68,69,0
235,Female,31-35,Urban,Tier2,2,92,52,0
236,Male,31-35,Urban,Tier2,5,75,99,1
237,Male,31-35,Urban,Tier1,1,88,50,1
238,Female,26-30,Urban,Tier3,1,100,98,1
239,Male,31-35,Rural,Tier3,6,43,65,0
240,Female,20-25,Rural,Tier2,0,60,99,0
241,Male,31-35,Rural,Tier3,2,42,58,0
242,Female,26-30,Urban,Tier3,7,79,40,0
243,Male,20-25,Urban,Tier1,9,73,67,1
244,Male,31-35,Urban,Tier1,3,66,80,1
245,Female,20-25,Rural,Tier2,8,41,80,0
246,Male,31-35,Urban,Tier1,5,55,76,1
247,Female,20-25,Rural,Tier2,5,44,73,0
248,Male,26-30,Urban,Tier2,5,56,87,1
249,Male,26-30,Urban,Tier2,10,80,46,1
250,Female,20-25,Urban,Tier2,10,51,93,1
251,Female,31-35,Urban,Tier1,2,44,85,0
252,Female,20-25,Urban,Tier3,0,60,99,0
253,Female,26-30,Rural,Tier2,4,42,88,0
254,Male,20-25,Rural,Tier1,10,61,57,1
255,Male,31-35,Urban,Tier2,7,97,64,1
256,Female,31-35,Urban,Tier2,8,57,91,1
257,Male,31-35,Urban,Tier2,2,74,58,0
258,Female,20-25,Urban,Tier2,7,78,85,1
259,Female,20-25,Urban,Tier2,5,79,67,0
260,Female,26-30,Rural,Tier1,10,80,65,1
261,Female,26-30,Rural,Tier1,0,49,94,0
262,Female,20-25,Urban,Tier3,5,63,64,0
263,Male,26-30,Rural,Tier3,5,68,88,1
264,Male,26-30,Urban,Tier2,10,57,55,0
265,Male,20-25,Urban,Tier2,8,47,56,0
266,Female,31-35,Urban,Tier2,7,52,47,0
267,Male,31-35,Urban,Tier3,7,45,91,1
268,Female,26-30,Rural,Tier2,4,97,59,1
269,Male,31-35,Rural,Tier2,5,72,54,0
270,Male,31-35,Rural,Tier2,7,41,63,0
271,Female,26-30,Rural,Tier1,1,44,59,0
272,Female,31-35,Rural,Tier2,6,92,76,1
273,Male,20-25,Urban,Tier1,7,83,73,1
274,Female,20-25,Rural,Tier2,9,51,89,1
275,Male,26-30,Rural,Tier1,1,73,49,0
276,Female,20-25,Urban,Tier3,5,100,100,1
277,Female,31-35,Urban,Tier2,8,57,48,0
278,Female,26-30,Urban,Tier2,9,100,77,1
279,Male,20-25,Rural,Tier3,5,93,99,1
280,Male,31-35,Urban,Tier1,10,89,76,1
281,Female,26-30,Rural,Tier2,10,41,71,0
282,Female,26-30,Urban,Tier2,10,65,59,0
283,Female,20-25,Urban,Tier2,7,69,53,0
284,Female,26-30,Urban,Tier3,5,65,48,0
285,Female,26-30,Urban,Tier2,1,57,68,0
286,Male,20-25,Urban,Tier3,9,66,55,0
287,Male,31-35,Rural,Tier3,3,88,50,0
288,Female,31-35,Urban,Tier3,7,41,45,0
289,Female,26-30,Rural,Tier2,5,43,43,0
290,Female,26-30,Rural,Tier2,7,58,74,0
291,Male,31-35,Urban,Tier3,5,88,65,1
292,Female,20-25,Urban,Tier2,5,75,58,0
293,Male,26-30,Urban,Tier2,9,83,79,1
294,Male,20-25,Urban,Tier2,5,75,100,1
295,Female,31-35,Urban,Tier2,8,42,42,0
296,Male,20-25,Urban,Tier2,7,49,78,0
297,Male,26-30,Rural,Tier1,9,87,93,1
298,Female,26-30,Urban,Tier2,7,85,76,1
299,Female,26-30,Urban,Tier2,1,66,77,0
300,Female,31-35,Rural,Tier2,0,78,70,0
301,Female,31-35,Rural,Tier3,9,54,86,0
302,Male,26-30,Urban,Tier2,9,89,93,1
303,Female,20-25,Rural,Tier1,1,52,41,0
304,Female,26-30,Urban,Tier2,6,72,89,1
305,Female,31-35,Rural,Tier1,2,73,53,0
306,Female,31-35,Urban,Tier2,2,69,98,1
307,Female,26-30,Rural,Tier3,10,81,91,1
308,Female,26-30,Urban,Tier2,8,59,54,0
309,Female,31-35,Rural,Tier2,7,60,70,0
310,Female,26-30,Rural,Tier3,4,47,76,0
311,Female,31-35,Urban,Tier2,2,58,42,0
312,Female,31-35,Urban,Tier3,10,56,87,0
313,Female,20-25,Rural,Tier2,8,84,57,1
314,Male,20-25,Rural,Tier2,0,82,97,1
315,Male,26-30,Urban,Tier2,7,46,83,1
316,Male,20-25,Urban,Tier3,6,81,99,1
317,Female,26-30,Urban,Tier3,5,58,81,0
318,Male,31-35,Urban,Tier2,8,87,86,1
319,Male,31-35,Urban,Tier3,2,99,98,1
320,Male,31-35,Urban,Tier2,4,96,42,1
321,Male,20-25,Rural,Tier3,5,58,69,0
322,Female,31-35,Urban,Tier2,4,52,91,0
323,Male,26-30,Rural,Tier2,2,40,87,0
324,Female,31-35,Urban,Tier3,2,79,94,1
325,Female,31-35,Urban,Tier1,10,46,51,0
326,Male,26-30,Rural,Tier1,6,55,68,0
327,Female,31-35,Urban,Tier3,0,56,81,0
328,Female,26-30,Urban,Tier1,4,50,65,0
329,Female,26-30,Rural,Tier3,5,79,54,0
330,Male,31-35,Urban,Tier2,9,63,66,1
331,Female,31-35,Rural,Tier3,3,83,88,1
332,Male,26-30,Urban,Tier2,9,47,43,0
333,Male,26-30,Urban,Tier2,8,68,47,0
334,Male,31-35,Urban,Tier3,7,91,43,0
335,Female,20-25,Urban,Tier2,8,69,83,1
336,Female,31-35,Urban,Tier3,3,77,44,0
337,Male,26-30,Rural,Tier2,0,99,97,1
338,Male,31-35,Urban,Tier2,2,89,48,0
339,Female,26-30,Rural,Tier2,6,64,45,0
340,Male,26-30,Urban,Tier1,8,65,73,1
341,Male,31-35,Urban,Tier1,0,59,69,0
342,Female,26-30,Rural,Tier2,5,49,57,0
343,Male,31-35,Rural,Tier1,10,66,79,1
344,Male,20-25,Urban,Tier2,7,78,83,1
345,Male,20-25,Urban,Tier2,8,53,88,1
346,Male,20-25,Rural,Tier2,9,60,76,1
347,Female,20-25,Rural,Tier3,8,54,66,0
348,Female,20-25,Urban,Tier2,2,80,83,1
349,Female,26-30,Urban,Tier2,10,82,64,1
350,Female,26-30,Urban,Tier2,2,88,74,1
351,Female,20-25,Urban,Tier3,2,91,69,0
352,Male,26-30,Rural,Tier2,2,64,55,0
353,Female,20-25,Rural,Tier3,5,45,74,0
354,Male,20-25,Urban,Tier2,0,95,44,0
355,Male,31-35,Urban,Tier2,3,70,53,0
356,Female,26-30,Rural,Tier2,3,87,47,0
357,Female,31-35,Rural,Tier3,6,98,55,0
358,Female,31-35,Urban,Tier2,5,59,56,0
359,Female,26-30,Urban,Tier1,7,88,93,1
360,Female,31-35,Urban,Tier2,9,95,54,1
361,Male,20-25,Urban,Tier2,6,58,49,0
362,Male,26-30,Urban,Tier3,7,75,81,1
363,Female,20-25,Rural,Tier3,10,87,71,1
364,Female,20-25,Rural,Tier1,8,71,51,0
365,Male,26-30,Rural,Tier1,10,43,88,1
366,Male,26-30,Rural,Tier2,2,40,53,0
367,Female,26-30,Rural,Tier2,9,98,70,1
368,Female,20-25,Urban,Tier2,0,73,86,0
369,Female,26-30,Urban,Tier2,10,67,91,1
370,Male,20-25,Urban,Tier1,3,79,73,1
371,Female,31-35,Urban,Tier2,5,65,69,0
372,Male,31-35,Urban,Tier2,1,81,94,1
373,Male,20-25,Urban,Tier2,0,80,40,0
374,Male,20-25,Rural,Tier2,5,76,94,1
375,Male,31-35,Rural,Tier2,9,70,57,1
376,Male,31-35,Rural,Tier2,8,76,82,1
377,Male,20-25,Rural,Tier1,3,77,49,0
378,Female,31-35,Urban,Tier2,9,93,94,1
379,Female,26-30,Urban,Tier2,2,90,84,1
380,Male,26-30,Rural,Tier1,6,54,93,1
381,Male,26-30,Rural,Tier3,6,89,60,1
382,Male,26-30,Rural,Tier2,3,62,75,0
383,Female,26-30,Rural,Tier2,1,89,79,1
384,Female,31-35,Rural,Tier1,2,64,85,1
385,Male,31-35,Urban,Tier1,0,100,59,1
386,Female,26-30,Urban,Tier1,2,67,68,0
387,Female,20-25,Urban,Tier2,9,78,90,1
388,Female,31-35,Urban,Tier2,1,86,97,1
389,Male,26-30,Urban,Tier2,2,57,59,0
390,Female,26-30,Urban,Tier2,6,59,70,0
391,Male,26-30,Rural,Tier3,7,78,79,1
392,Male,26-30,Urban,Tier1,6,61,93,1
393,Female,31-35,Urban,Tier2,10,78,48,0
394,Female,26-30,Rural,Tier2,5,51,65,0
395,Female,20-25,Rural,Tier2,9,90,55,1
396,Female,26-30,Rural,Tier2,1,99,76,1
397,Male,26-30,Urban,Tier2,8,41,100,1
398,Female,31-35,Urban,Tier3,1,92,94,1
399,Female,26-30,Urban,Tier2,4,82,49,0
400,Female,31-35,Urban,Tier3,7,77,65,0
401,Female,26-30,Rural,Tier2,8,78,80,1
402,Male,20-25,Urban,Tier2,2,81,79,1
403,Male,26-30,Rural,Tier2,5,90,67,1
404,Male,20-25,Urban,Tier2,8,75,77,1
405,Male,26-30,Urban,Tier3,9,84,72,1
406,Male,26-30,Urban,Tier1,6,98,45,1
407,Male,31-35,Rural,Tier2,5,69,90,1
408,Male,26-30,Urban,Tier1,7,60,44,0
409,Female,20-25,Rural,Tier1,5,81,46,0
410,Male,31-35,Rural,Tier2,8,50,61,0
411,Female,31-35,Urban,Tier2,2,51,80,0
412,Female,26-30,Rural,Tier3,7,77,67,0
413,Female,20-25,Urban,Tier2,1,76,46,0
414,Male,26-30,Urban,Tier1,10,95,71,1
415,Female,26-30,Rural,Tier2,5,62,94,1
416,Female,26-30,Rural,Tier3,4,98,79,1
417,Male,26-30,Urban,Tier2,1,51,63,0
418,Male,26-30,Urban,Tier1,6,67,51,0
419,Female,26-30,Rural,Tier2,2,75,50,0
420,Female,20-25,Urban,Tier3,9,43,95,0
421,Female,31-35,Urban,Tier1,6,75,72,1
422,Female,26-30,Urban,Tier3,7,71,50,0
423,Male,26-30,Rural,Tier2,0,57,54,0
424,Female,20-25,Urban,Tier3,7,75,72,0
425,Male,26-30,Urban,Tier2,5,74,92,1
426,Male,31-35,Urban,Tier2,6,46,87,1
427,Male,20-25,Rural,Tier2,5,95,92,1
428,Male,26-30,Rural,Tier3,3,53,91,0
429,Female,31-35,Rural,Tier2,9,48,90,0
430,Male,31-35,Rural,Tier2,8,57,78,1
431,Male,26-30,Rural,Tier2,4,100,94,1
432,Male,20-25,Rural,Tier2,0,57,95,1
433,Male,31-35,Urban,Tier1,5,93,55,1
434,Female,26-30,Urban,Tier2,6,64,68,0
435,Male,26-30,Rural,Tier1,8,87,57,1
436,Female,26-30,Urban,Tier2,1,86,69,0
437,Female,31-35,Rural,Tier2,6,92,53,0
438,Female,20-25,Rural,Tier2,9,48,76,0
439,Female,31-35,Rural,Tier3,0,46,80,0
440,Female,20-25,Rural,Tier1,7,40,67,0
441,Male,31-35,Rural,Tier3,4,50,95,1
442,Female,20-25,Urban,Tier1,10,97,81,1
443,Male,20-25,Rural,Tier3,3,67,81,1
444,Male,31-35,Urban,Tier2,2,77,54,0
445,Female,20-25,Rural,Tier3,6,84,48,0
446,Female,20-25,Urban,Tier3,1,46,60,0
447,Female,31-35,Urban,Tier3,2,81,83,1
448,Male,20-25,Urban,Tier2,2,68,62,0
449,Male,26-30,Urban,Tier2,10,68,95,1
450,Male,20-25,Urban,Tier3,9,86,64,1
451,Female,31-35,Urban,Tier1,4,81,45,0
452,Male,26-30,Rural,Tier2,0,94,94,1
453,Female,20-25,Rural,Tier1,6,58,81,1
454,Male,31-35,Rural,Tier2,6,47,55,0
455,Female,26-30,Urban,Tier3,0,63,99,0
456,Female,20-25,Rural,Tier2,5,74,83,1
457,Male,31-35,Rural,Tier3,0,77,44,0
458,Male,20-25,Urban,Tier1,6,72,58,1
459,Female,26-30,Urban,Tier2,8,79,49,0
460,Female,20-25,Urban,Tier3,2,74,60,0
461,Female,26-30,Rural,Tier2,10,44,59,0
462,Female,31-35,Rural,Tier1,1,99,67,1
463,Male,26-30,Rural,Tier2,10,87,51,1
464,Male,20-25,Urban,Tier1,7,100,62,1
465,Female,20-25,Urban,Tier3,4,86,96,1
466,Male,31-35,Urban,Tier3,4,73,44,0
467,Female,31-35,Urban,Tier1,7,72,63,0
468,Male,26-30,Urban,Tier2,4,89,46,0
469,Male,20-25,Urban,Tier1,0,55,42,0
470,Female,26-30,Rural,Tier1,0,75,91,1
471,Female,20-25,Urban,Tier3,5,57,92,0
472,Male,26-30,Urban,Tier2,0,51,54,0
473,Male,31-35,Urban,Tier2,4,89,94,1
474,Female,26-30,Urban,Tier1,3,58,76,0
475,Female,31-35,Urban,Tier2,7,89,89,1
476,Male,31-35,Urban,Tier3,2,40,99,0
477,Female,20-25,Urban,Tier2,0,100,61,1
478,Male,31-35,Urban,Tier3,4,46,53,0
479,Male,26-30,Rural,Tier3,2,85,57,0
480,Male,20-25,Urban,Tier3,6,84,97,1
481,Female,26-30,Rural,Tier2,8,48,80,0
482,Female,20-25,Urban,Tier2,2,55,58,0
483,Female,31-35,Rural,Tier2,5,60,68,0
484,Female,20-25,Rural,Tier1,9,46,49,0
485,Male,20-25,Urban,Tier2,8,62,89,1
486,Male,26-30,Urban,Tier3,1,50,91,0
487,Female,31-35,Rural,Tier1,5,49,45,0
488,Male,31-35,Urban,Tier1,4,56,92,1
489,Male,20-25,Urban,Tier2,8,55,46,0
490,Female,20-25,Rural,Tier1,0,93,89,1
491,Male,20-25,Rural,Tier2,10,100,81,1
492,Male,26-30,Urban,Tier3,0,44,52,0
493,Female,31-35,Urban,Tier3,5,47,42,0
494,Female,20-25,Rural,Tier2,6,71,41,0
495,Female,26-30,Urban,Tier2,2,57,57,0
496,Female,31-35,Urban,Tier2,3,81,58,0
497,Female,26-30,Urban,Tier1,4,64,48,0
498,Female,20-25,Rural,Tier2,10,91,74,1
499,Male,31-35,Rural,Tier2,8,90,71,1
500,Female,31-35,Urban,Tier2,2,41,60,0
501,Male,20-25,Rural,Tier2,7,73,62,1
502,Male,31-35,Urban,Tier2,4,74,92,1
503,Male,31-35,Rural,Tier2,6,62,99,1
504,Male,20-25,Urban,Tier3,5,98,77,1
505,Male,31-35,Urban,Tier2,2,76,100,1
506,Male,31-35,Rural,Tier3,8,59,51,0
507,Female,20-25,Urban,Tier2,0,73,70,0
508,Male,26-30,Rural,Tier3,5,85,51,0
509,Female,20-25,Urban,Tier3,2,89,47,0
510,Female,31-35,Urban,Tier3,6,77,46,0
511,Female,26-30,Urban,Tier1,6,90,80,1
512,Female,26-30,Urban,Tier3,9,90,62,1
513,Male,26-30,Rural,Tier2,4,48,51,0
514,Male,31-35,Rural,Tier2,9,42,51,0
515,Female,31-35,Rural,Tier2,9,46,99,1
516,Female,20-25,Rural,Tier2,5,50,80,0
517,Male,31-35,Rural,Tier3,5,68,40,0
518,Female,20-25,Rural,Tier2,1,86,40,0
519,Male,26-30,Rural,Tier3,6,71,96,1
520,Female,26-30,Urban,Tier3,9,81,88,1
521,Male,20-25,Urban,Tier3,4,41,60,0
522,Female,31-35,Urban,Tier1,6,50,86,0
523,Male,26-30,Rural,Tier1,9,79,97,1
524,Female,31-35,Urban,Tier2,9,96,67,1
525,Male,20-25,Urban,Tier3,6,84,75,1
526,Female,26-30,Urban,Tier1,6,76,75,1
527,Female,20-25,Urban,Tier2,4,92,82,1
528,Female,20-25,Urban,Tier1,4,45,70,0
529,Male,26-30,Urban,Tier2,10,56,45,0
530,Female,20-25,Rural,Tier2,7,42,56,0
531,Female,26-30,Urban,Tier2,0,49,88,0
532,Male,20-25,Urban,Tier2,9,54,75,1
533,Male,31-35,Rural,Tier2,8,83,95,1
534,Female,26-30,Urban,Tier2,6,97,94,1
535,Male,26-30,Rural,Tier3,10,79,49,0
